"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x108","0x4","SearchType","SearchType","m_seachType",""
"0x10c","0x4","basic_string","basic_string","m_searchQuery",""
"0x110","0x4","basic_string","basic_string","m_difficulty",""
"0x114","0x4","basic_string","basic_string","m_length",""
"0x118","0x4","int","int","m_page",""
"0x11c","0x1","bool","bool","m_starFilter",""
"0x11d","0x1","bool","bool","m_noStarFilter",""
"0x11e","0x4","int","int","m_total",""
"0x122","0x1","bool","bool","m_featuredFilter",""
"0x123","0x1","bool","bool","m_uncompletedFilter",""
"0x124","0x1","bool","bool","m_searchIsOverlay",""
"0x125","0x1","bool","bool","m_onlyCompleted","Created by retype action"
"0x126","0x1","bool","bool","m_original","Created by retype action"
"0x127","0x1","bool","bool","m_originalFilter","Created by retype action"
"0x128","0x1","bool","bool","m_twoPlayerFilter","Created by retype action"
"0x129","0x1","bool","bool","m_coins","Created by retype action"
"0x12a","0x1","bool","bool","m_epic","Created by retype action"
"0x12b","0x1","bool","bool","m_legendary","Created by retype action"
"0x12c","0x1","bool","bool","m_mythic","This Should be an integer as Far as I am Aware - Calloc"
"0x12d","0x1","??","undefined","",""
"0x12e","0x1","??","undefined","",""
"0x12f","0x1","??","undefined","",""
"0x130","0x4","int","int","m_demonFilter",""
"0x134","0x4","int","int","m_folder",""
"0x138","0x4","int","int","m_songID",""
"0x13c","0x1","bool","bool","m_customSong","Created by retype action"
"0x13d","0x1","bool","bool","m_songFilter","Created by retype action"
"0x13e","0x1","??","undefined","",""
"0x13f","0x1","??","undefined","",""
"0x140","0x4","int","int","m_searchMode",""
